"GB_Accession" "Start_of_CDS" "End_of_CDS" "Type" "Product" "Protein_ID" "Gene"
"1...1" "MZ423212.1" 1 1320 "gene" "m6A demethylase" "QYU76043.1" "ALKB1"
"1...2" "MT107161.1" 1 1623 "gene" "m6A demethylase" "QPC97718.1" "ALKB2"
"1...3" "ON392763.1" 1 597 "CDS" "REM1.8" "USE63119.1" "NbREM1.8"
"1...4" "ON392762.1" 1 528 "CDS" "REM1.5" "USE63118.1" "NbREM1.5"
"1...5" "ON392761.1" 1 537 "CDS" "REM1.3" "USE63117.1" "NbREM1.3"
"1...6" "ON392760.1" 1 624 "CDS" "REM1.1" "USE63116.1" "NbREM1.1"
"1...7" "MW478352.1" 1 504 "CDS" "RNA binding protein 7" "UQM94819.1" "GRP7"
"1...8" "MW841628.1" 1 2496 "CDS" "expansin responded kinase 1" "UPT50366.1" "NbERK1"
"1...9" "MW343792.1" 1 2982 "gene" "suppressor with morphogenetic effect on genitalia protein 7" "UOW59891.1" "SMG7"
"1...10" "MW367443.1" 1 831 "CDS" "voltage dependent anion channel 4" "UKR51182.1" "NbVDAC4"
"1...11" "MW367442.1" 1 831 "CDS" "voltage dependent anion channel 3" "UKR51181.1" "NbVDAC3"
"1...12" "MW367441.1" 1 831 "CDS" "voltage dependent anion channel 2" "UKR51180.1" "NbVDAC2"
"1...13" "MW367440.1" 1 831 "CDS" "voltage dependent anion channel 1" "UKR51179.1" "NbVDAC1"
"1...14" "MW014353.1" 1 1569 "CDS" "gamma-glutamylcysteine synthetase" "UKF18834.1" NA
"1...15" "MW014352.1" 1 1668 "CDS" "glutathione synthetase" "UKF18833.1" NA
"1...16" "MW024828.1" 1 1707 "CDS" "A/T-rich interaction domain containing protein 1" "UKB36438.1" NA
"1...17" "MT683764.1" 1 345 "CDS" "SmD1c" "QLF98401.1" "small nuclear ribonucleoprotein SmD1"
"1...18" "MT683763.1" 1 345 "CDS" "SmD1b" "QLF98400.1" "small nuclear ribonucleoprotein SmD1"
"1...19" "MT683762.1" 1 345 "CDS" "SmD1a" "QLF98399.1" "small nuclear ribonucleoprotein SmD1"
"1...20" "MT945407.1" 1 1755 "CDS" "UDP-glycosyltransferase" "UHH90566.1" NA
"1...21" "MT945406.1" 239 1165 "CDS" "UDP-glycosyltransferase" "UHH90565.1" NA
"1...22" "MT945405.1" 65 1414 "CDS" "UDP-glycosyltransferase" "UHH90564.1" NA
"1...23" "MT945404.1" 45 1481 "CDS" "UDP-glycosyltransferase" "UHH90563.1" NA
"1...24" "MT945403.1" 137 1537 "CDS" "UDP-glycosyltransferase" "UHH90562.1" NA
"1...25" "MT945402.1" 45 1376 "CDS" "UDP-glycosyltransferase" "UHH90561.1" NA
"1...26" "MT945401.1" 76 1509 "CDS" "UDP-glycosyltransferase" "UHH90560.1" NA
"1...27" "MT945400.1" 37 1371 "CDS" "UDP-glycosyltransferase" "UHH90559.1" NA
"1...28" "MT945399.1" 40 1362 "CDS" "UDP-glycosyltransferase" "UHH90558.1" NA
"1...29" "MT945398.1" 15 1484 "CDS" "UDP-glycosyltransferase" "UHH90557.1" NA
"1...30" "MT945397.1" 1 1449 "CDS" "UDP-glycosyltransferase" "UHH90556.1" NA
"1...31" "MT945396.1" 351 1490 "CDS" "UDP-glycosyltransferase" "UHH90555.1" NA
"1...32" "MT945395.1" 63 1544 "CDS" "UDP-glycosyltransferase" "UHH90554.1" NA
